username,followers
"('realDonaldTrump',)","(3,)"
"('JoeBiden',)","(2,)"
"('Cristiano',)","(2,)"
"('tomhanks',)","(2,)"
"('RobertDowneyJr',)","(2,)"
"('LeoDiCaprio',)","(2,)"
"('CNN',)","(2,)"
"('NASA',)","(2,)"
"('WhiteHouse',)","(2,)"
"('BarackObama',)","(2,)"
"('masason',)","(1,)"
"('RonaldKlain',)","(1,)"
"('wojespn',)","(1,)"
"('SenKamalaHarris',)","(1,)"
"('RyanQualtrics',)","(1,)"
"('RubenGallego',)","(1,)"
"('ThomasSowell',)","(1,)"
"('bsw5020',)","(1,)"
"('RCamposDuffy',)","(1,)"
"('SykesCharlie',)","(1,)"
"('94feetofgame',)","(1,)"
"('BoratSagdiyev',)","(1,)"
"('EllenRucker',)","(1,)"
"('CoachKarl22',)","(1,)"
"('zachweinberg',)","(1,)"
"('DrLeanaWen',)","(1,)"
"('lexfridman',)","(1,)"
"('ForecasterEnten',)","(1,)"
"('michaelmina_lab',)","(1,)"
"('therealJuliaAnn',)","(1,)"
"('heydb',)","(1,)"
"('luka7doncic',)","(1,)"
"('navalny',)","(1,)"
"('DrBiden',)","(1,)"
"('NIHDirector',)","(1,)"
"('ElonsWorld',)","(1,)"
"('tim_cook',)","(1,)"
"('satyanadella',)","(1,)"
"('Benioff',)","(1,)"
"('mccaffreyr3',)","(1,)"
"('AVindman',)","(1,)"
"('YVindman',)","(1,)"
"('PhilipRucker',)","(1,)"
"('TomBossert',)","(1,)"
"('WmHaseltine',)","(1,)"
"('claudiamconwayy',)","(1,)"
"('erikbryn',)","(1,)"
"('lanheechen',)","(1,)"
"('Weinsteinlaw',)","(1,)"
"('ZekeEmanuel',)","(1,)"
"('ChrisCuomo',)","(1,)"
"('latestinspace',)","(1,)"
"('SquawkCNBC',)","(1,)"
"('JohnAvlon',)","(1,)"
"('carselfdriving',)","(1,)"
"('car_selfdriving',)","(1,)"
"('ProjectLincoln',)","(1,)"
"('AJDelgado13',)","(1,)"
"('AttorneyCrump',)","(1,)"
"('spotifypodcasts',)","(1,)"
"('KillerMike',)","(1,)"
"('BerniceKing',)","(1,)"
"('Politics_Polls',)","(1,)"
"('PpollingNumbers',)","(1,)"
"('ATTACKATHLETICS',)","(1,)"
"('woodhaus2',)","(1,)"
"('profgalloway',)","(1,)"
"('JuliaLMarcus',)","(1,)"
"('jennahaze',)","(1,)"
"('VindictiveSlutS',)","(1,)"
"('Miss_SaintXXX',)","(1,)"
"('_sofiryanxoxO1',)","(1,)"
"('thekenzietaylor',)","(1,)"
"('Eliza22Ibarra',)","(1,)"
"('kj_fetishmodel',)","(1,)"
"('adamliptak',)","(1,)"
"('NinaTotenberg',)","(1,)"
"('AutumnFalls_xo',)","(1,)"
"('alexisohanian',)","(1,)"
"('harari_yuval',)","(1,)"
"('ASlavitt',)","(1,)"
"('JaydenMichele',)","(1,)"
"('MaitlandWard',)","(1,)"
"('esglaude',)","(1,)"
"('bcurvyish',)","(1,)"
"('BillHanage',)","(1,)"
"('DrTomFrieden',)","(1,)"
"('mlipsitch',)","(1,)"
"('yhgrad',)","(1,)"
"('paulmromer',)","(1,)"
"('DKThomp',)","(1,)"
"('ScottGottliebMD',)","(1,)"
"('yoyobaba',)","(1,)"
"('ashishkjha',)","(1,)"
"('elizashapiro',)","(1,)"
"('NYGovCuomo',)","(1,)"
"('NJStateBar',)","(1,)"
"('JenGranholm',)","(1,)"
"('kumailn',)","(1,)"
"('njcourts',)","(1,)"
